question,hybrid_only_rank,query_rewrite_rank,hyde_rank
실시간 추론의 최대 페이로드 크기는?,1,1,1
서버리스 추론의 최대 페이로드 크기는?,1,1,1
비동기 추론의 최대 처리 시간은?,1,1,1
HNSW에서 m 파라미터가 조절하는 게 뭐야?,-,-,-
ef_construction 파라미터는 언제 쓰이나?,-,-,-
S3 Glacier Deep Archive의 최대 복원 시간은?,1,1,1
RDS의 정확한 풀네임은?,1,1,1
Route 53이라는 이름이 53인 이유는?,1,1,1
PartyRock이 정식 발표된 연도는?,1,1,1
AWS Artifact가 ISV 보고서를 지원하기 시작한 시점은?,1,1,1
Top K 파라미터가 조절하는 것은?,1,1,1
XGBoost의 X는 무엇의 약자인가?,1,1,1
BERT가 학습에 사용하는 방식의 약자는?,2,1,1
F1 Score는 어떤 두 지표의 조화평균인가?,1,1,1
Bedrock Guardrails의 필터 정책은 몇 가지인가?,2,2,1
PII 탐지하는 서비스는?,1,1,1
이미지에서 텍스트를 추출하는 서비스는?,1,1,1
그래프 기반 데이터베이스로 사기 탐지에 쓰이는 서비스는?,1,1,1
모델의 편향과 설명 가능성을 다루는 SageMaker 도구는?,1,1,1
쿠버네티스 기반 컨테이너 오케스트레이션 서비스는?,1,1,1
